"feature_id","gene_id","transcript_id","mean_norm_WT","mean_norm_mutant","a.value","m.value_TCC_raw","log2FC_mut_vs_WT","p.value","q.value","rank","estimatedDEG","direction","abs_log2FC_gt1"
"Os02g0745600","Os02g0745600","Os02t0745600-01",172.968357149611,133.370843007113,7.24683190980627,-0.375064830357097,-0.375064830357097,3.31532852909916e-05,0.000595643399675171,2496,1,"down",FALSE
"Os02g0745700","Os02g0745700","Os02t0745700-01",86.9415694239092,67.3284419189747,6.25755920374758,-0.36883005953996,-0.36883005953996,0.00268632869576608,0.0188110124973351,6404,1,"down",FALSE
"Os02g0745700.1","Os02g0745700","Os02t0745700-02",46.5721476923282,33.6670362846298,5.30733016497241,-0.468130688077095,-0.468130688077095,0.000192761945206196,0.002457139474368,3518,1,"down",FALSE
"Os02g0745800","Os02g0745800","Os02t0745800-01",25.2128304110417,23.3130875554094,4.59957718043938,-0.113017999502355,-0.113017999502355,0.536642726266382,0.741426040319479,32458,0,"NS",FALSE
"Os02g0746000","Os02g0746000","Os02t0746000-01",130.862345231136,135.028199608713,7.05451157261916,0.0452107034875997,0.0452107034875997,0.500937025842227,0.71099920831995,31595,0,"NS",FALSE
"Os02g0747400","Os02g0747400","Os02t0747400-01",1.81012655149751,2.6794741759197,1.13902023793117,0.565859347725449,0.565859347725449,0.294321147396719,0.50644545495696,26061,0,"NS",FALSE
"Os02g0747500","Os02g0747500","Os02t0747500-01",102.017613934583,107.149069108178,6.7080749795693,0.0708010527990908,0.0708010527990908,0.565908134614556,0.76426394376115,33205,0,"NS",FALSE
"Os02g0747600","Os02g0747600","Os02t0747600-01",78.5896624040359,70.2571060343813,6.21541994793963,-0.161695402851152,-0.161695402851152,0.101675177427188,0.259875842493294,17545,0,"NS",FALSE
"Os02g0747900","Os02g0747900","Os02t0747900-01",273.889471775427,244.956559561378,8.01691605760948,-0.161067885067616,-0.161067885067616,0.444019955004572,0.661141208998658,30117,0,"NS",FALSE
"Os02g0748100","Os02g0748100","Os02t0748100-01",58.5277380669967,54.3538269714703,5.81767916511246,-0.106738906802824,-0.106738906802824,0.266339945191113,0.481258985105705,24671,0,"NS",FALSE
"Os02g0748100.1","Os02g0748100","Os02t0748100-02",2.27302480986153,1.31694855427176,0.790906209945828,-0.787414442365184,-0.787414442365184,0.197383505057943,0.405866879636904,21803,0,"NS",FALSE
"Os02g0748300","Os02g0748300","Os02t0748300-01",110.282766942256,94.7215114050799,6.67534187766965,-0.219443363106845,-0.219443363106845,0.0645771722751391,0.190791464170657,15178,0,"NS",FALSE
"Os02g0748300.1","Os02g0748300","Os02t0748300-02",4.50017084481522,4.00798756318722,2.0864289024548,-0.167101741214583,-0.167101741214583,0.62202185927582,0.812216412583783,34343,0,"NS",FALSE
"Os02g0748800","Os02g0748800","Os02t0748800-00",44.494823137283,46.5261977376224,5.50776848605052,0.0644057986460318,0.0644057986460318,0.681221820408887,0.854867122019983,35735,0,"NS",FALSE
"Os02g0749000","Os02g0749000","Os02t0749000-01",34.2307825100951,46.2165526498204,5.3137800568363,0.433115378902633,0.433115378902633,0.00216285784931738,0.0158923803694558,6103,1,"up",FALSE
"Os02g0749100","Os02g0749100","Os02t0749100-01",0.127240172223919,0.0362498586766178,-3.88012734213672,-1.8115069539555,-1.8115069539555,0.456916921657684,0.670681343480337,30505,0,"NS",TRUE
"Os02g0749150","Os02g0749150","Os02t0749150-01",44.0537372165078,36.1322557517937,5.31820396404296,-0.285977087041254,-0.285977087041254,0.0102203220879684,0.051490857624183,8901,0,"NS",FALSE
"Os02g0749200","Os02g0749200","Os02t0749200-01",0.670296825017921,0.770519062006962,-0.476612720615563,0.201030547993599,0.201030547993599,0.79846374391707,0.941028177282095,38050,0,"NS",FALSE
"Os02g0749250","Os02g0749250","Os02t0749250-00",7.47649927041013,7.20188986994974,2.87536922587953,-0.0539873752497937,-0.0539873752497937,0.854211919223904,0.971476232042726,39431,0,"NS",FALSE
"Os02g0749300","Os02g0749300","Os02t0749300-01",150.813447019854,158.411836373662,7.27207879273445,0.0709150664257825,0.0709150664257825,0.512772725957991,0.720524798620863,31911,0,"NS",FALSE
"Os02g0749300.1","Os02g0749300","Os02t0749300-02",15.3562481281895,13.3168278886182,3.83796621761308,-0.205575308016239,-0.205575308016239,0.369360305883432,0.587778337723088,28180,0,"NS",FALSE
"Os02g0749400","Os02g0749400","Os02t0749400-01",37.0345695473966,40.4341392811326,5.27415132993235,0.126701332364823,0.126701332364823,0.345352016077635,0.563060018505198,27505,0,"NS",FALSE
"Os02g0749450","Os02g0749450","Os02t0749450-01",152.092361375583,154.574061174747,7.26047916016987,0.0233505456753171,0.0233505456753171,0.761378826442543,0.913930799051682,37358,0,"NS",FALSE
"Os02g0749500","Os02g0749500","Os02t0749500-01",164.397204827871,164.865357419792,7.36309321572158,0.00410251243420134,0.00410251243420134,0.907987962461108,0.999357259685007,40744,0,"NS",FALSE
"Os02g0749700","Os02g0749700","Os02t0749700-01",4.00240402663875,1.03524091401636,1.02541667477885,-1.95090026819151,-1.95090026819151,0.00264073061393583,0.0185729177621296,6376,1,"down",TRUE
"Os02g0749800","Os02g0749800","Os02t0749800-01",12.9378456056704,14.2315359914343,3.76227248488674,0.137493976988996,0.137493976988996,0.534660147518941,0.739729950258667,32403,0,"NS",FALSE
"Os02g0749800.1","Os02g0749800","Os02t0749800-02",2.61994222850744,2.92211638059208,1.46827431896924,0.157478638508247,0.157478638508247,0.568937100418081,0.766836444084891,33271,0,"NS",FALSE
"Os02g0749900","Os02g0749900","Os02t0749900-01",62.0347334605612,71.4855176040955,6.05729169719515,0.204574781346756,0.204574781346756,0.0488429423801052,0.157316074746359,13922,0,"NS",FALSE
"Os02g0750100","Os02g0750100","Os02t0750100-00",9.53496271667801,11.5800418575539,3.39339793019889,0.280341265664442,0.280341265664442,0.153636543838514,0.341242059033895,20190,0,"NS",FALSE
"Os02g0750200","Os02g0750200","Os02t0750200-01",96.8578411772184,85.5028418032782,6.50784870409551,-0.179896476960414,-0.179896476960414,0.144746489371726,0.327365925427965,19828,0,"NS",FALSE
"Os02g0750300","Os02g0750300","Os02t0750300-00",0,0,-6.47842536124147,-1.1895279891416,-1.1895279891416,1,1,43851.5,0,"NS",TRUE
"Os02g0750400","Os02g0750400","Os02t0750400-01",27.1784806938374,30.6042331773612,4.85002611011367,0.171266410127942,0.171266410127942,0.23126921905521,0.442148028724894,23456,0,"NS",FALSE
"Os02g0750500","Os02g0750500","Os02t0750500-01",47.3659017217028,48.5000892083266,5.58284622026797,0.0341385510668619,0.0341385510668619,0.721315115091944,0.885586852072282,36525,0,"NS",FALSE
"Os02g0750600","Os02g0750600","Os02t0750600-01",161.704437124718,131.746250628566,7.18941677539465,-0.295597361769808,-0.295597361769808,0.0224833192492674,0.0912931880128709,11044,0,"NS",FALSE
"Os02g0750701","Os02g0750701","Os02t0750701-00",0.896957290900433,0.675458597873204,-0.361474777594591,-0.409171949587437,-0.409171949587437,0.539431622676324,0.742990100353126,32558,0,"NS",FALSE
"Os02g0750800","Os02g0750800","Os02t0750800-00",5.52168610451899,0.269850753362028,0.287671248191402,-4.35487525617127,-4.35487525617127,9.94790938890243e-11,1.54897239109702e-08,288,1,"down",TRUE
"Os02g0750950","Os02g0750950","Os02t0750950-00",0.113534149860924,0.165856175443907,-2.86539857483215,0.546806419974252,0.546806419974252,0.362976705774402,0.581416291582249,27952,0,"NS",FALSE
"Os02g0751100","Os02g0751100","Os02t0751100-01",58.5735680944342,69.8909141435361,5.99960544371638,0.254855135659071,0.254855135659071,0.0142073424877785,0.0647605271927157,9838,0,"NS",FALSE
"Os02g0751100.1","Os02g0751100","Os02t0751100-02",14.8975916710915,16.8033674487364,3.98384284872485,0.173671257709327,0.173671257709327,0.349330916706944,0.567653316803349,27596,0,"NS",FALSE
"Os02g0751300","Os02g0751300","Os02t0751300-01",17.124609950309,8.29086262824786,3.57476071927352,-1.04647700717973,-1.04647700717973,0.000331146281570764,0.0037528238187413,3957,1,"down",TRUE
"Os02g0751600","Os02g0751600","Os02t0751600-01",6.52836886553988,4.65103215227833,2.46213674392056,-0.489171661535909,-0.489171661535909,0.189615962939781,0.394802126737853,21537,0,"NS",FALSE
"Os02g0751600.1","Os02g0751600","Os02t0751600-02",3.67161905363454,2.42183281500218,1.57625782819595,-0.60031710493375,-0.60031710493375,0.149174775173156,0.334106102312437,20021,0,"NS",FALSE
"Os02g0751800","Os02g0751800","Os02t0751800-01",160.412808118807,111.52329116354,7.06342337993347,-0.524444295684293,-0.524444295684293,0.00190435128410043,0.0143551401889729,5949,1,"down",FALSE
"Os02g0751900","Os02g0751900","Os02t0751900-01",0.920794438442344,1.7777711130603,0.355510307408922,0.949118565228046,0.949118565228046,0.10065774388469,0.258128659390692,17487,0,"NS",FALSE
"Os02g0752000","Os02g0752000","Os02t0752000-01",43.2520960946113,38.3770362780861,5.34843477106108,-0.17252674908304,-0.17252674908304,0.315324643628199,0.530836336018581,26638,0,"NS",FALSE
"Os02g0752000.1","Os02g0752000","Os02t0752000-02",1.41746852288017,1.70828621895569,0.637933206628607,0.26923301683952,0.26923301683952,0.544745008042876,0.74764476772586,32674,0,"NS",FALSE
"Os02g0752200","Os02g0752200","Os02t0752200-01",93.8767170999471,130.051532593113,6.78781753835468,0.470244104500035,0.470244104500035,0.00294723137917078,0.0200951260403732,6577,1,"up",FALSE
"Os02g0752250","Os02g0752250","Os02t0752250-00",1.03124864957216,2.51669812733496,0.687962204385043,1.28713994849067,1.28713994849067,0.0258199576470743,0.10091193869774,11456,0,"NS",TRUE
"Os02g0752300","Os02g0752300","Os02t0752300-01",34.8308875552597,40.7836384003024,5.23610695643529,0.227623251248472,0.227623251248472,0.253770354381878,0.468412338831074,24295,0,"NS",FALSE
"Os02g0752600","Os02g0752600","Os02t0752600-00",0.298336288634999,0.809910978826073,-1.02457668678476,1.44082387024833,1.44082387024833,0.247634399518354,0.461141480882925,24081,0,"NS",TRUE
"Os02g0752701","Os02g0752701","Os02t0752701-01",3.89156505280337,6.08982530187142,2.28337565811542,0.646050368361182,0.646050368361182,0.0252235341318329,0.0994045315588288,11379,0,"NS",FALSE
"Os02g0752800","Os02g0752800","Os02t0752800-01",264.918948195982,202.24363855563,7.85467886965557,-0.389456711124429,-0.389456711124429,0.0304869231693008,0.11165922758936,12244,0,"NS",FALSE
"Os02g0752800.1","Os02g0752800","Os02t0752800-02",106.951388558858,83.5540848530312,6.56272492972767,-0.356172946604921,-0.356172946604921,0.0300209726188769,0.110394464626561,12195,0,"NS",FALSE
"Os02g0753000","Os02g0753000","Os02t0753000-01",5.32635909927543,5.5805269562789,2.44677552806615,0.0672516615664125,0.0672516615664125,0.693504640330515,0.864179889834896,35987,0,"NS",FALSE
"Os02g0753100","Os02g0753100","Os02t0753100-00",0,0,-6.47842536124147,-1.1895279891416,-1.1895279891416,1,1,43851.5,0,"NS",TRUE
"Os02g0753200","Os02g0753200","Os02t0753200-01",115.951350301564,104.470196731378,6.78216171461159,-0.150428192053932,-0.150428192053932,0.0317657837871207,0.115190760593443,12366,0,"NS",FALSE
